Type,Name,Value
Position,SMETER_YPOS,11
Position,SBAR_YPOS,2
Position,VFOA_YPOS,22
Position,VFOB_YPOS,83
Position,VFOS_YPOS,23
Position,VFO_RXXPOS,23
Position,VFO_RXYPOS,21
Position,VFO_TXXPOS,65
Position,VFO_TXYPOS,36
Position,VFO_POWERX,0
Position,VFO_POWERY,36
Position,VFO_CH_NAMEX,38
Position,VFO_CH_NAMEY,0
Position,VFO_NAMEX,0
Position,VFO_NAMEY,0
Position,VFO_GROUPX,0
Position,VFO_GROUPY,9
Position,VFO_REVERSEX,12
Position,VFO_REVERSEY,24
Position,VFO_BWX,38
Position,VFO_BWY,9
Position,VFO_GR_LETTERSX,29
Position,VFO_GR_LETTERSY,36
Position,VFO_TX_STX,55
Position,VFO_TX_STY,9
Position,VFO_RX_STX,78
Position,VFO_RX_STY,9
Position,VFO_MODX,103
Position,VFO_MODY,9
Position,VFO_SCANSYMX,1
Position,VFO_SCANSYMY,24
Position,FLAGS_YPOS_DUAL,70
Position,FLAGS_YPOS_SINGLE,113
Position,FLAGS_TONEMONITORX,69
Position,FLAGS_DWX,1
Position,FLAGS_KLX,11
Position,FLAGS_BTX,21
Position,FLAGS_VOXX,31
Position,FLAGS_ASLX,41
Position,FLAGS_BATTX,103
Position,SWITCH_LARGE_CH_NAME,0
Position,SMETER_SPTT_YPOS,11
Position,SBAR_SPTT_YPOS,2
Position,SWITCH_DIM_INACTIVE_VFO,0
Position,VFO_HEIGHT,45
Position,VFO_LJ_RXFREQ,0
Position,VFO_CHANGERXFREQNOTBG,0
Position,SWITCH_SOLID_SCOPE,0
Position,FLAGS_PTTMODE,51
Color,COL_SMETEROFF,804080
Color,COL_SMETERLOW,00F800
Color,COL_SMETERMID,F8FC00
Color,COL_SMETERHIGH,F850A0
Color,COL_SMETERTX,F80000
Color,COL_SMETERTXMOD,00FC00
Color,COL_SMETEREXNOISE,6834F8
Color,COL_SUNIT,F8FC00
Color,COL_PUNIT,F850A0
Color,COL_DBM,68D068
Color,COL_FREQ,F8FCD0
Color,COL_BATTICONBODY,D0D0F8
Color,COL_FWBGROUND,000000
Color,COL_INPUT,80F880
Color,COL_MENUEDIT,F8C800
Color,COL_MENU,F8FCF8
Color,COL_MENUBG,000078
Color,COL_MENUEDITBG,005010
Color,COL_BLACK,000000
Color,COL_VFOPOWER,F8FC80
Color,COL_VFOCHNAME,F8FCF8
Color,COL_VFORXFREQ,C8DCF8
Color,COL_VFOTXFREQ,C8DCF8
Color,COL_VFOCORNER,C8DCF8
Color,COL_VFOCORNER2,C8DCF8
Color,COL_VFOIDLE,1050A8
Color,COL_VFOSCAN,701078
Color,COL_VFORX,108828
Color,COL_VFOTX,A00000
Color,COL_VFOLABELS,F8D028
Color,COL_ASLFLAG,F84848
Color,COL_BATTHIGH,38F838
Color,COL_BATTLOW,F83838
Color,COL_SCOPEBAR,F8FCF8
Color,COL_SCOPEBARCENTRE,F8FC00
